Source,Target,Type,Weight
103,47,Undirected,1
56,101,Undirected,1
71,40,Undirected,1
45,141,Undirected,1
54,87,Undirected,1
113,132,Undirected,1
110,49,Undirected,1
120,20,Undirected,1
147,20,Undirected,1
33,101,Undirected,1
125,108,Undirected,1
46,101,Undirected,1
90,102,Undirected,1
8,4,Undirected,1
114,101,Undirected,1
12,20,Undirected,1
122,20,Undirected,1
9,29,Undirected,1
0,127,Undirected,1
53,68,Undirected,1
119,47,Undirected,1
44,101,Undirected,1
15,20,Undirected,1
94,47,Undirected,1
24,20,Undirected,1
138,38,Undirected,1
81,20,Undirected,1
67,20,Undirected,1
135,20,Undirected,1
88,101,Undirected,1
45,60,Undirected,1
97,47,Undirected,1
66,32,Undirected,1
107,101,Undirected,1
116,102,Undirected,1
6,47,Undirected,1
89,10,Undirected,1
3,101,Undirected,1
59,101,Undirected,1
13,41,Undirected,1
5,20,Undirected,1
7,101,Undirected,1
25,74,Undirected,1
17,101,Undirected,1
97,99,Undirected,1
43,43,Undirected,1
53,62,Undirected,1
103,20,Undirected,1
16,101,Undirected,1
51,47,Undirected,1
123,101,Undirected,1
106,23,Undirected,1
78,149,Undirected,1
35,47,Undirected,1
133,101,Undirected,1
71,85,Undirected,1
82,47,Undirected,1
98,101,Undirected,1
8,137,Undirected,1
144,87,Undirected,1
42,131,Undirected,1
80,148,Undirected,1
79,73,Undirected,1
45,101,Undirected,1
76,102,Undirected,1
71,48,Undirected,1
19,101,Undirected,1
11,20,Undirected,1
119,20,Undirected,1
134,20,Undirected,1
12,47,Undirected,1
12,109,Undirected,1
117,47,Undirected,1
8,77,Undirected,1
57,101,Undirected,1
71,101,Undirected,1
121,102,Undirected,1
12,128,Undirected,1
95,36,Undirected,1
93,131,Undirected,1
31,102,Undirected,1
0,112,Undirected,1
12,99,Undirected,1
83,101,Undirected,1
81,47,Undirected,1
75,102,Undirected,1
53,53,Undirected,1
136,20,Undirected,1
0,101,Undirected,1
1,47,Undirected,1
78,27,Undirected,1
140,101,Undirected,1
100,102,Undirected,1
97,124,Undirected,1
71,129,Undirected,1
26,21,Undirected,1
13,72,Undirected,1
106,34,Undirected,1
84,47,Undirected,1
142,101,Undirected,1
51,20,Undirected,1
115,101,Undirected,1
0,14,Undirected,1
35,20,Undirected,1
143,20,Undirected,1
55,101,Undirected,1
89,139,Undirected,1
82,20,Undirected,1
52,102,Undirected,1
122,47,Undirected,1
30,102,Undirected,1
58,102,Undirected,1
63,101,Undirected,1
2,102,Undirected,1
9,36,Undirected,1
94,20,Undirected,1
145,102,Undirected,1
86,62,Undirected,1
79,118,Undirected,1
144,74,Undirected,1
39,141,Undirected,1
90,96,Undirected,1
24,47,Undirected,1
92,102,Undirected,1
146,150,Undirected,1
26,64,Undirected,1
128,128,Undirected,1
97,20,Undirected,1
43,91,Undirected,1
18,101,Undirected,1
117,20,Undirected,1
101,101,Undirected,1
111,101,Undirected,1
95,29,Undirected,1
135,47,Undirected,1
67,47,Undirected,1
69,101,Undirected,1
138,104,Undirected,1
65,20,Undirected,1
61,102,Undirected,1
110,131,Undirected,1
8,130,Undirected,1
28,20,Undirected,1
22,101,Undirected,1
37,104,Undirected,1
5,47,Undirected,1
43,105,Undirected,1
1,20,Undirected,1
13,126,Undirected,1
125,50,Undirected,1
144,132,Undirected,1
70,101,Undirected,1
